"","wy","site_code","method","GN_Al_ICP","GN_Ca","GN_Cl","GN_DIC","GN_DOC","GN_DON","GN_F","GN_Fe","GN_K","GN_Mg","GN_Mn","GN_Na","GN_NH4_N","GN_NO3_N","GN_OMAl","GN_PO4_P","GN_SiO2_Si","GN_SO4_S","GN_TDN","GN_TMAl"
"1","2020","w1","wrtds",1.20733252423198,6.04159528244338,3.15580876759695,3.92583122832836,19.5380114252971,0.603634989088999,0.205944115714897,0.0248015278494472,1.04811778951808,0.827856052005806,0.033620972242274,3.53506401756991,0.0742525051881,2.37933245301706,0.259264589253564,0.00375583991825699,12.5898743848,4.4459791435783,2.52197251015995,0.644123087236116
"2","2019","w1","wrtds",1.86416720734639,9.49977926765595,4.73220058660461,5.70482262866911,30.6593570479197,0.961326414179026,0.32357898144228,0.0410262379619265,1.62877448111751,1.26248293970693,0.0682447857804009,5.35330990175754,0.111061207990817,3.60535927333301,0.422568286570736,0.00596724875056924,19.1632869326512,6.82834045608368,3.96760847612438,0.999253861872365
"3","2018","w1","wrtds",1.35529110606469,7.60991721282411,3.54011494392703,4.3748955317713,22.63268561154,0.737006066268233,0.25601472250046,0.0341249156677356,1.17346249415474,1.01573601402504,0.0576494358247511,4.27066138261504,0.0762942070454036,2.95182703965404,0.319683533839162,0.00442648754787752,15.2084581247108,5.53211694687326,3.11358653336476,0.723399521482012
"4","2017","w1","wrtds",1.36863160884588,8.12232158097259,3.48819819228433,4.04141141787063,22.288373258712,0.699505146372664,0.258054839723907,0.0357852193082223,1.28336745654321,1.04173268282226,0.077784275425414,4.22462042471847,0.0715701627545567,3.64147362487613,0.334461863662261,0.00446116133978065,15.1440554799913,5.53525350940582,3.65887683588326,0.757661205191272
"5","2016","w1","wrtds",0.906637426081272,6.73524874675466,2.6483592304899,3.10725651585078,14.0512237056207,0.444478743059347,0.208024239953569,0.027382382003424,0.901287134275773,0.879555654876359,0.0615681088745306,3.52310035489997,0.0490288698016463,3.55552626866094,0.224192775888157,0.00304718952912841,12.2470360638868,4.58237340281311,3.16529807565021,0.520376877103383
"6","2015","w1","wrtds",1.04135829857861,7.55058025769305,2.82124188628161,3.36988616196444,17.2602566499191,0.574967119877904,0.22874454497078,0.0340761338833005,0.947097282245486,0.957292973860709,0.0852787819049801,3.87311801528474,0.0514680714893355,3.28946539718143,0.268240177629904,0.00364528695881107,13.8168329417478,5.26889580702594,3.21757080550352,0.562707007404779
"7","2014","w1","wrtds",1.36974892809352,10.2040226452406,3.50699538224676,4.02012108107329,22.2852829666518,0.744263100565099,0.301414134756201,0.0470772691190963,1.35262949720884,1.25537112912899,0.155052606196983,4.87801606059119,0.058336529529798,5.00212342511969,0.362273570822172,0.00422443381871789,17.5812533488655,6.7962855905003,4.59842619237962,0.759206171123074
"8","2013","w1","wrtds",1.10694188851569,9.70151126722672,3.16147306247247,3.71894015042211,17.768146558801,0.629286420355368,0.296466949028821,0.0463166192095949,1.0905560588958,1.20916164871655,0.155606594666017,4.73577811118071,0.0516607038179238,4.60981784929673,0.309914755755606,0.00376801503899123,16.9069985152119,6.71516787732954,4.0485359813672,0.611953103557782
"9","2012","w1","wrtds",NA,16.2087740123573,5.09960091947766,5.78732837539072,36.5264066804527,1.40113719105131,NA,NA,2.09485632409273,1.9589289306854,NA,7.36709895005212,0.0704321395663635,5.69173057329373,0.603245029997528,0.00530060750169462,28.1600933596559,11.5637778515643,5.86847664131952,1.03396042087606
"10","2011","w1","wrtds",NA,18.8010205335003,5.79695925084088,6.59510158263812,42.0729754424254,1.69338232191551,NA,NA,2.62293555714582,2.27984346403577,NA,8.42423333769306,0.0722971275282517,5.67004968474526,NA,0.00498265401618488,32.6351850626476,14.1178152070328,6.61891716074505,NA
"11","2010","w1","wrtds",NA,14.1381692241559,4.51233713426279,5.09819176710726,29.3761414474024,1.21441149784339,NA,NA,1.97232188626263,1.77725763636679,NA,6.59369284088551,0.0512552354761408,3.8442260972412,NA,0.00314790030685766,25.2969222661355,11.4913265288947,4.57021865950649,NA
"12","2009","w1","wrtds",NA,14.9755232586576,4.73954079394965,5.7085723589739,32.0969151693136,1.36169715868185,NA,NA,1.76752150160788,1.88299553442575,NA,7.33239086254225,0.0529275885856745,2.93036127050848,NA,0.00353531307751508,28.9746159191314,13.7075411458224,3.81991121428479,0.5546596584042
"13","2008","w1","wrtds",NA,14.8488876848635,4.78737332929652,5.70504301668727,31.4422228197938,1.30912320177415,NA,NA,1.82654268643881,1.8906702493194,NA,7.27161376228559,0.0484925184337029,3.07259674503622,NA,0.00329575439280985,28.9395816666196,14.1496764695326,3.59112918078683,0.614127815444858
"14","2007","w1","wrtds",NA,11.3686690418567,3.90441202242418,4.47090621270483,22.7275944161216,0.977056748752559,NA,NA,1.42285046323545,1.48769921644088,NA,5.80291068605421,0.0358149405976642,2.00541275201914,NA,0.0023925367107643,23.0191891393473,11.5884936305621,2.34129574198576,0.401147002676045
"15","2006","w1","wrtds",NA,14.0541063075606,4.84871466809803,5.30481249252979,NA,NA,NA,NA,1.77097185479961,1.81345421336009,NA,7.02917194427949,0.0427979181419878,2.57391820205286,NA,0.00307115665332479,28.7905652615216,14.498512042029,NA,NA
"16","2005","w1","wrtds",NA,16.219211817136,5.38848919496885,5.92146940437347,NA,NA,NA,NA,2.1557203094362,2.05902209958761,NA,7.88881250862194,0.048436293964386,2.44213548012474,NA,0.00457407361224953,33.5117393025436,16.7383250755204,NA,NA
"17","2004","w1","wrtds",NA,13.5340365486297,4.64458719100547,4.96281942252768,NA,NA,NA,NA,1.67381218792979,1.7352285054635,NA,6.79208241008518,0.0390726839042043,2.55056768449061,NA,0.0039640400673537,27.681034792774,14.0510823339225,NA,NA
"18","2003","w1","wrtds",NA,12.8966998449004,4.28109455976541,4.82601685912834,NA,NA,NA,NA,1.58443177725081,1.69082512432217,NA,6.6235676313334,0.0386858634721211,1.96930024118008,NA,0.00493644180416334,26.8413075199087,13.663990392518,NA,NA
"19","2002","w1","wrtds",NA,8.04648638726153,2.75355619377898,2.97864590894206,NA,NA,NA,NA,1.08327193626482,1.10385707714517,NA,4.31311600570104,0.0240633314521043,1.97113811381168,NA,0.00333910262369186,17.0782740698803,8.45062347295843,NA,NA
"20","2001","w1","wrtds",NA,7.24820540352036,2.64135703554502,2.64334263802088,NA,NA,NA,NA,1.11313008003167,1.02488580497586,NA,3.86763890167216,0.0230607181060858,2.00681738541167,NA,0.00373567009503509,14.8088383599282,7.79560964956886,NA,NA
"21","2000","w1","wrtds",NA,9.70482705007471,3.63894967625813,3.82889098946507,NA,NA,NA,NA,1.51565274585809,1.48623054185056,NA,5.65860352978413,0.0340404312768005,3.12946508353645,NA,0.00527311700367942,19.7934166004549,10.9365707791071,NA,NA
"22","1999","w1","wrtds",NA,11.065088071421,4.56281703771298,4.77281972865218,19.1911563523752,NA,NA,NA,1.86595908018341,1.86477870957061,NA,6.92763946268138,0.0482054899354973,3.45313782127249,NA,0.00751953007514469,21.9563114448002,13.6209483235209,NA,NA
"23","1998","w1","wrtds",NA,9.79764120828683,4.38832587230244,4.68077183387813,NA,NA,NA,NA,1.82275084062628,1.80086712193331,NA,6.57447950038693,0.0519667888094349,3.19021306905366,NA,0.00611132050102078,19.5091012434086,13.1422429301084,NA,NA
"24","1997","w1","wrtds",NA,8.79819086849499,4.41009547007755,4.4211560051735,NA,NA,NA,NA,1.77327408068054,1.73822053377352,NA,6.23540055192437,0.0565425320627369,2.52372269409499,NA,0.00557525952239497,17.3437263752993,12.8695513650113,NA,NA
"25","1996","w1","wrtds",NA,13.8117713721746,7.01170561500159,NA,NA,NA,NA,NA,3.1307884088091,2.7814943995247,NA,9.3410416168316,0.103967176265066,5.16235558998808,NA,0.0122296987097766,26.3617679941854,20.8466044294447,NA,NA
"26","1995","w1","wrtds",NA,7.19986178929115,3.80929450688699,NA,NA,NA,NA,NA,1.41917321539738,1.6072524491531,NA,5.36345527989446,0.0732190120967843,2.13943225089133,NA,0.00596908886787749,14.001788518275,11.889336095802,NA,NA
"27","1994","w1","wrtds",NA,6.57624896328193,3.46532817471389,NA,NA,NA,NA,NA,1.36176290050758,1.52662128113645,NA,5.03924016871309,0.0811574134678498,2.14921645965173,NA,0.00555944318679408,12.6430911607014,11.2671276665367,NA,NA
"28","1993","w1","wrtds",NA,6.48220954096384,3.31655247744868,NA,NA,NA,NA,NA,1.40566437447903,1.51776083766574,NA,4.83894483296581,0.0929688430609745,2.41854533082354,NA,0.00640349540100007,12.1347388977329,11.0382974827286,NA,NA
"29","1992","w1","wrtds",NA,6.64466626367089,3.22086876590205,NA,NA,NA,NA,NA,1.15582987037003,1.56158613485877,NA,4.87725964303105,0.103674566384059,2.00213268395576,NA,0.00654582272345292,12.2433377973198,11.3946866628711,NA,NA
"30","1991","w1","wrtds",NA,7.82192495152443,3.75094869959753,NA,NA,NA,NA,NA,1.39659415652695,1.82452952367454,NA,5.46973721105799,0.125594281088299,2.3247339830413,NA,0.00928006231534233,14.0425303020791,13.3039778028248,NA,NA
"31","1990","w1","wrtds",NA,11.5107794233431,5.12439146016265,NA,NA,NA,NA,NA,2.23928571285851,2.61596873315057,NA,7.35459470716183,0.210736931133849,3.2349556980064,NA,0.0184593885739644,19.5995075225532,19.3654866681938,NA,NA
"32","1989","w1","wrtds",NA,8.11519392494122,3.56419214120213,NA,NA,NA,NA,NA,1.64620332445273,1.86552140122945,NA,5.32191403573424,0.149135314759875,2.03605864488056,NA,0.0131958931701866,13.8554189296314,13.5955277265042,NA,NA
"33","1988","w1","wrtds",NA,4.90758338229986,2.14364937415682,NA,NA,NA,NA,NA,0.86826283910187,1.14584275520642,NA,3.41011399816913,0.074451903963649,1.43595992604874,NA,0.00687988546275872,8.54247708849966,8.17154232254986,NA,NA
"34","1987","w1","wrtds",NA,8.1367542057686,3.36758975131024,NA,NA,NA,NA,NA,1.8076718898643,1.84354400215168,NA,5.12955230534124,0.146677990405945,2.58618563347454,NA,0.0140288020804656,13.3586656223544,13.3436840742156,NA,NA
"35","1986","w1","wrtds",NA,9.65372980605462,4.0991220733596,NA,NA,NA,NA,NA,1.98079229852173,2.16548723438159,NA,6.06672042179329,0.142781732046326,3.14435980814289,NA,0.015397603769577,15.7599345184568,15.7960857809748,NA,NA
"36","1985","w1","wrtds",NA,6.32525764796298,2.75308159850777,NA,NA,NA,NA,NA,1.11437831142477,1.42250271999427,NA,4.12934952048662,0.0800657864490248,1.69632542395664,NA,0.00731970958182307,10.6130579983045,10.4580654222837,NA,NA
